"","","QUANTITE","QUANTITE","PRIX /","","NET /","MONTANT"
"POS.","DESCRIPTION","","","","","",""
"","","COMMANDEE","CONFIRMEE","UNITE","","UNITE","NET"
"","PFWVTG001005000803 / PWVTGG50080 Z (*)","","","","","",""
"","Vis à panneaux PFS+ TF-T * 5,00x80 Zn (T25)","","","","","",""
"","double tête plate six lobes int. avec nervures","","","","","",""
"","","Demandé:","","","","",""
"","","","","49,97 €","","48,97 €",""
"","filet partiel - pointe coupante T17","","","","","",""
"","","2.000 Pce","Stock:","","","",""
"10","","","","/ 1.000","-2 %","/ 1.000","117,53 €"
"","emballage standard","Arrondi:","","","","",""
"","","","2.400 Pce","","","",""
"","","","","Pce","","Pce",""
"","Art. client: 924734","2.400 Pce","","","","",""
"","QTE: 200 Pce","","","","","",""
"","PFWVTV001004500603 / PWVTVK45060 Z (*)","","","","","",""
"","Vis à panneaux PFS+ TF-T * 4,50x60 Zn (T20)","","","","","",""
"","double tête plate six lobes int. avec nervures","","","","","",""
"","","","","28,63 €","","28,63 €",""
"","filet total - pointe coupante T17","","","","","",""
"","","","Stock:","","","",""
"20","","2.400 Pce","","/ 1.000","","/ 1.000","68,71 €"
"","emballage petit","","","","","",""
"","","","2.400 Pce","","","",""
"","","","","Pce","","Pce",""
"","Art. client: 929735","","","","","",""
"","QTE: 200 Pce","","","","","",""
